"EBAY",24.00,"4/4/2016","10:49am",+0.12,23.40,24.14,23.40,4503540
"ECL",112.07,"4/4/2016","10:49am",-0.35,111.97,112.82,111.69,281780
"ED",76.27,"4/4/2016","10:49am",-0.72,77.00,77.15,76.09,341899
"EFX",115.68,"4/4/2016","10:49am",-0.91,116.59,116.79,115.68,77467
"EIX",71.37,"4/4/2016","10:49am",-0.57,72.00,72.38,71.03,606241
"EL",94.89,"4/4/2016","10:48am",-0.76,95.80,95.80,94.85,99355
"EMC",26.89,"4/4/2016","10:49am",+0.06,26.80,26.89,26.76,819308
"EMN",72.42,"4/4/2016","10:48am",-1.24,73.36,73.46,72.40,166646
"EMR",54.32,"4/4/2016","10:49am",-0.43,54.78,54.84,54.21,487721
"ENDP",29.30,"4/4/2016","10:49am",+0.62,29.28,29.71,29.03,1666733
"EOG",72.34,"4/4/2016","10:48am",+0.30,72.48,72.63,71.34,644908
"EQIX",332.80,"4/4/2016","10:48am",+2.86,331.95,332.88,330.34,83969
"EQR",74.5875,"4/4/2016","10:49am",-0.5825,75.2600,75.4900,74.5000,286215
"EQT",67.49,"4/4/2016","10:48am",+0.75,67.11,67.90,66.29,212069
"ES",58.48,"4/4/2016","10:48am",-0.32,58.87,59.09,58.28,163564
"ESRX",69.61,"4/4/2016","10:49am",+0.50,69.62,70.37,69.48,1278993
"ESS",233.88,"4/4/2016","10:48am",+1.06,233.15,234.99,232.73,59295
"ETFC",24.90,"4/4/2016","10:49am",-0.07,24.95,25.11,24.63,535426
"ETN",63.13,"4/4/2016","10:49am",-0.53,62.89,63.33,62.52,630422
"ETR",79.02,"4/4/2016","10:49am",-0.95,79.95,80.00,78.74,279112
"EW",105.86,"4/4/2016","10:49am",+15.94,102.21,106.10,100.90,3865360
"EXC",35.6402,"4/4/2016","10:49am",-0.0198,35.6900,35.7700,35.5050,1328774
"EXPD",48.58,"4/4/2016","10:48am",-0.27,48.30,48.67,48.11,303923
"EXPE",105.55,"4/4/2016","10:49am",-2.65,108.32,108.62,105.33,729002
"EXR",93.18,"4/4/2016","10:48am",-0.33,93.94,94.16,92.94,128344
"F",12.85,"4/4/2016","10:49am",-0.25,13.11,13.12,12.83,14202499
"FAST",48.12,"4/4/2016","10:49am",-0.81,48.75,48.77,47.77,861763
"FB",112.4722,"4/4/2016","10:49am",-3.5878,114.1000,114.5500,112.2000,20805511
"FCX",10.03,"4/4/2016","10:49am",+0.14,9.91,10.09,9.68,9977215
"FDX",165.05,"4/4/2016","10:49am",+1.38,163.88,165.51,163.25,440111
"FE",35.963,"4/4/2016","10:49am",-0.067,35.990,36.130,35.830,676792
"FFIV",104.615,"4/4/2016","10:49am",-0.965,105.360,105.360,104.510,137190
"FIS",64.45,"4/4/2016","10:49am",-0.56,65.11,65.35,64.45,337208
"FISV",102.29,"4/4/2016","10:48am",-1.08,103.30,103.49,102.24,194301
"FITB",16.9099,"4/4/2016","10:49am",+0.1099,16.8200,17.0100,16.6300,1594913
"FLIR",32.88,"4/4/2016","10:48am",-0.10,33.02,33.33,32.67,107962
"FLR",53.31,"4/4/2016","10:49am",-0.20,53.51,53.93,53.09,172310
"FLS",43.09,"4/4/2016","10:49am",-0.82,43.49,43.61,42.80,360322
"FMC",39.54,"4/4/2016","10:48am",-0.75,40.10,40.22,39.47,208147
"FOX",29.06,"4/4/2016","10:49am",-0.06,29.08,29.30,28.96,651826
"FOXA",28.64,"4/4/2016","10:48am",+0.05,28.57,28.89,28.45,1821546
"FRT",157.21,"4/4/2016","10:48am",+0.12,157.11,158.09,157.10,83364
"FSLR",68.2311,"4/4/2016","10:49am",+0.7511,67.3600,69.0100,67.2500,527925
"FTI",27.125,"4/4/2016","10:48am",-0.115,27.080,27.190,26.720,661070
"FTR",5.405,"4/4/2016","10:48am",-0.065,5.500,5.515,5.390,4667793
"GAS",65.36,"4/4/2016","10:49am",-0.15,65.48,65.58,65.32,138517
"GD",132.25,"4/4/2016","10:48am",-0.09,132.29,133.07,131.93,354693
"GE",31.25,"4/4/2016","10:49am",-0.68,31.69,31.71,31.25,11429267
"GGP",29.53,"4/4/2016","10:48am",+0.03,29.51,29.73,29.45,965775
"GILD",94.49,"4/4/2016","10:49am",+0.37,94.35,94.89,93.75,2658278
"GIS",64.523,"4/4/2016","10:49am",-0.437,65.000,65.200,64.140,1414502
"GLW",20.82,"4/4/2016","10:49am",-0.01,20.79,20.89,20.77,952584
"GM",29.85,"4/4/2016","10:49am",-0.62,30.40,30.48,29.81,3867015
"GME",31.13,"4/4/2016","10:48am",-0.21,31.39,31.42,31.06,236176
"GOOG",745.00,"4/4/2016","10:49am",-4.91,750.06,752.80,744.29,368791
"GOOGL",764.39,"4/4/2016","10:48am",-5.28,769.51,772.44,764.00,419523
"GPC",98.70,"4/4/2016","10:48am",-1.02,98.93,99.04,98.25,207727
"GPS",29.83,"4/4/2016","10:49am",+0.60,29.69,30.10,29.55,1782723
"GRMN",39.82,"4/4/2016","10:49am",+0.13,39.79,39.98,39.46,153700
"GS",159.47,"4/4/2016","10:49am",-0.35,159.97,160.00,157.39,815299
"GT",31.59,"4/4/2016","10:48am",-0.90,32.37,32.45,31.51,677836
"GWW",232.639,"4/4/2016","10:49am",-1.741,233.850,234.610,231.640,83948
"HAL",35.16,"4/4/2016","10:49am",+0.07,34.85,35.30,34.42,2284456
"HAR",85.81,"4/4/2016","10:49am",-0.94,86.59,86.83,85.04,266237
